RuleID|Rule Name|Rule|Rule Desc|Severity|Schedule|Alert Freq|Weeks|Status|Organisations|Scheduled From|Scheduled To|Created On|Created By|rule_builder|rule_type|rule_properties|aggr_rule|aggr_rule_builder|user_org_group_id|sub_technique|tactics|technique|alert_keys|Compliance
"7062"|"System security access was granted to an account"|"{  eventid =  4717  }"|"This alert is generated based on Event ID 4717 when an system security access was granted to an account (Mitre Att&ck:TA0005-T1078)(CWE-284)"|"Medium"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,15,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"eventid","operator":"=","entity":"none","value":"4717"}]}"|"regular"|"Occurrences '5' Within '300' GroupBy 'user'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001,TA0003,TA0004,TA0005"|"T1078"|"null"|"[]"
"7063"|"Possible Process Injection"|"{( eventid =  4688  ) and ( process_name !~  C:\Windows\System32\  and process_name ~NotFromFile  Whitelisted Processes  ) }"|"Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. (Mitre Att&CK: TA0004-T1055)(CWE-264)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"condition":"and","rules":[{"field":"eventid","operator":"=","entity":"none","value":"4688"}]},{"condition":"and","rules":[{"field":"process_name","operator":"!~","entity":"none","value":"C:\\Windows\\System32\\","condition":"and"},{"field":"process_name","operator":"Not Contains In File Feed","entity":"none","value":"Whitelisted Processes"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0004,TA0005"|"T1055"|"null"|"[]"
"7064"|"Directory traversal vulnerability"|"{  request ~  /manager/controllers/default/resource/tvs.php?class_key=../../../../../../../../../../windows/win.ini%00  }"|"MODx manager - Local File Inclusion:Directory traversal vulnerability in MODx Revolution 2.0.2-pl (Mitre Att&ck:TA0001.T1190) (CVE ID: CVE-2010-5278)."|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/manager/controllers/default/resource/tvs.php?class_key=../../../../../../../../../../windows/win.ini%00"}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7065"|"Possible Oracle WebLogic Exploit"|"{( url ~  /config/keystore/  and url ~  .js  ) or ( request ~  /config/keystore/  and request ~  .js  ) }"|"Detects access to a webshell dropped into a keystore folder on the WebLogic server (Mitre Att&ck:TA0001-T1190)(CVE-2023-21839)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"or","rules":[{"condition":"and","rules":[{"field":"url","operator":"~","entity":"none","value":"/config/keystore/","condition":"and"},{"field":"url","operator":"~","entity":"none","value":".js"}]},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/config/keystore/","condition":"and"},{"field":"request","operator":"~","entity":"none","value":".js"}]}]}"|"regular"|"Occurrences '1' Within '60' GroupBy 'srcip'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7066"|"Pulse Secure Attack"|"{  request ~  ?/dana/html5acc/guacamole/  }"|"Detects exploitation attempt of URI that contains 'Guacamole' (Mitre Att%ck:T1190) (CVE ID: CVE-2019-11510)."|"Critical"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"?/dana/html5acc/guacamole/"}]}"|"regular"|"Occurrences '1' Within '60' GroupBy 'srcip'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7067"|"Citrix Netscaler Attack"|"{ ( request ~  /../vpns/  or request ~  /vpns/cfg/smb.conf  or request ~  /vpns/portal/scripts/  ) }"|"Detects CVE-2019-19781 exploitation attempt against Citrix Netscaler, Application Delivery Controller and Citrix Gateway Attack (Mitra Attack: T1190)"|"Critical"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"or","rules":[{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/../vpns/","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"/vpns/cfg/smb.conf","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"/vpns/portal/scripts/","condition":"or"}]}]}"|"regular"|"Occurrences '1' Within '60' GroupBy 'srcip'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7068"|"Confluence Exploitation"|"{method =  POST  and ( request ~  /upload.action  and request ~  filename=../../../../  ) }"|"Detects the exploitation of the Confluence vulnerability described in CVE-2019-3398 (Mitre Att&ck: T1190)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"POST"},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/upload.action","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"filename=../../../../"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7069"|"Microsoft Exchange Validation Key Remote Code Execution Vulnerability Exploitation Attempt"|"{( request ~  /ecp/default.aspx  and request ~  __VIEWSTATEGENERATOR=  and request ~  __VIEWSTATE=  ) or ( url ~  /ecp/default.aspx  and url ~  __VIEWSTATEGENERATOR=  and url ~  __VIEWSTATE=  ) }"|"A vulnerability which allows attackers to execute arbitrary code on affected servers, particularly targeting Microsoft Exchange Server 2013, 2016, and 2019 through crafted HTTP requests(Mitre Att&ck: TA0008-T1210)(CVE-2020-0688)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"or","rules":[{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/ecp/default.aspx","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"__VIEWSTATEGENERATOR=","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"__VIEWSTATE="}]},{"condition":"and","rules":[{"field":"url","operator":"~","entity":"none","value":"/ecp/default.aspx","condition":"and"},{"field":"url","operator":"~","entity":"none","value":"__VIEWSTATEGENERATOR=","condition":"and"},{"field":"url","operator":"~","entity":"none","value":"__VIEWSTATE="}]}]}"|"regular"|"Occurrences '1' Within '60' GroupBy 'srcip'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0008"|"T1210"|"null"|"[]"
"7070"|"Microsoft Exchange Validation Key Remote Code Execution VulnerabilityExploitation Attempt via Web Log"|"{method =  GET  and request ~  /ecp/  or request ~  /owa/  and ( request ~  __VIEWSTATE=  ) }"|"Detects vulnerability which allows attackers to execute arbitrary code on affected servers, particularly targeting Microsoft Exchange Server 2013, 2016, and 2019 through crafted HTTP requests (Mitre Att&CK: TA0001-T1190)(CVE-2020-0688)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"GET","condition":"and"},{"field":"request","operator":"~","entity":"none","condition":"or","value":"/ecp/"},{"field":"request","operator":"~","entity":"none","value":"/owa/"},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"__VIEWSTATE="}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7071"|"Oracle WebLogic Exploit"|"{( request =  /console/images/%252E%252E%252Fconsole.portal  or request =  /console/css/%2e  ) or ( url ~  /console/images/%252E%252E%252Fconsole.portal  or url ~  /console/css/%2e  ) }"|"Detects critical vulnerability in Oracle WebLogic Server that allows unauthenticated attackers to exploit the server via a simple HTTP GET request, potentially leading to complete system compromise (Mitre Att&ck: TA0001-T11900) (CVE-2020-14882)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"or","rules":[{"condition":"and","rules":[{"field":"request","operator":"=","entity":"none","value":"/console/images/%252E%252E%252Fconsole.portal","condition":"or"},{"field":"request","operator":"=","entity":"none","value":"/console/css/%2e"}]},{"condition":"and","rules":[{"field":"url","operator":"~","entity":"none","value":"/console/images/%252E%252E%252Fconsole.portal","condition":"or"},{"field":"url","operator":"~","entity":"none","value":"/console/css/%2e"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
